"DATE","CFDD","NMDD"
"1897-10-01",0,21.16
"1897-10-02",0,35.58
"1897-10-03",0,50.14
"1897-10-04",0,65.86
"1897-10-05",0,85.24
"1897-10-06",0,99.95
"1897-10-07",0,110.23
"1897-10-08",0,123.29
"1897-10-09",0,133.38
"1897-10-10",0,142.44
"1897-10-11",0,160.32
"1897-10-12",0,175.37
"1897-10-13",0,187.43
"1897-10-14",0,207.38
"1897-10-15",0,231.43
"1897-10-16",0,249.82
"1897-10-17",0,257.32
"1897-10-18",0,265.87
"1897-10-19",0,281.21
"1897-10-20",0,294.72
"1897-10-21",0,306.49
"1897-10-22",0,317.15
"1897-10-23",0,326.91
"1897-10-24",0,336.91
"1897-10-25",0,347.18
"1897-10-26",0,358.24
"1897-10-27",0,372.18
"1897-10-28",0,387.18
"1897-10-29",0,393.56
"1897-10-30",0,401.39
"1897-10-31",0,412.85
"1897-11-01",0,423.52
"1897-11-02",0,431.48
"1897-11-03",0,440.25
"1897-11-04",0,452.19
"1897-11-05",0,464.14
"1897-11-06",0,471.08
"1897-11-07",0,476.13
"1897-11-08",0,483.52
"1897-11-09",0,489.13
"1897-11-10",0,495.24
"1897-11-11",0,500.02
"1897-11-12",0,501.52
"1897-11-13",0,503.07
"1897-11-14",0,506.07
"1897-11-15",0,517.01
"1897-11-16",0,524.95
"1897-11-17",0,525.4
"1897-11-18",0,525.81
"1897-11-19",0,530.13
"1897-11-20",0,540.48
"1897-11-21",0,549.46
"1897-11-22",0,550.51
"1897-11-23",3.06,547.45
"1897-11-24",4.62,545.89
"1897-11-25",0,552.27
"1897-11-26",0,559.92
"1897-11-27",0.48,559.44
"1897-11-28",0,560.33
"1897-11-29",1.43,558.9
"1897-11-30",6.55,553.78
"1897-12-01",9.04,551.29
"1897-12-02",13.49,546.84
"1897-12-03",14.97,545.36
"1897-12-04",12.98,547.35
"1897-12-05",14.15,546.18
"1897-12-06",14.98,545.35
"1897-12-07",13.88,546.45
"1897-12-08",9.55,550.78
"1897-12-09",0.440000000000003,559.89
"1897-12-10",0,572.84
"1897-12-11",0,581.28
"1897-12-12",0,584.39
"1897-12-13",0,588.16
"1897-12-14",0,594.54
"1897-12-15",0,598.67
"1897-12-16",0,600.96
"1897-12-17",3.21,597.75
"1897-12-18",11.8,589.16
"1897-12-19",20.02,580.94
"1897-12-20",23.96,577
"1897-12-21",26.45,574.51
"1897-12-22",32.28,568.68
"1897-12-23",42.22,558.74
"1897-12-24",54.71,546.25
"1897-12-25",59.83,541.13
"1897-12-26",61.77,539.19
"1897-12-27",67.26,533.7
"1897-12-28",73.37,527.59
"1897-12-29",75.2,525.76
"1897-12-30",73.32,527.64
"1897-12-31",77.2,523.76
"1898-01-01",87.15,513.81
"1898-01-02",95.87,505.09
"1898-01-03",100.75,500.21
"1898-01-04",103.15,497.81
"1898-01-05",103.15,497.81
"1898-01-06",101.6,499.36
"1898-01-07",101.06,499.9
"1898-01-08",98.51,502.45
"1898-01-09",98.95,502.01
"1898-01-10",97.34,503.62
"1898-01-11",95.05,505.91
"1898-01-12",84.56,516.4
"1898-01-13",81.46,519.5
"1898-01-14",80.62,520.34
"1898-01-15",80.28,520.68
"1898-01-16",84.29,516.67
"1898-01-17",88.58,512.38
"1898-01-18",89.85,511.11
"1898-01-19",89.4,511.56
"1898-01-20",84.02,516.94
"1898-01-21",82.67,518.29
"1898-01-22",80.57,520.39
"1898-01-23",77.62,523.34
"1898-01-24",79.79,521.17
"1898-01-25",80.41,520.55
"1898-01-26",83.3,517.66
"1898-01-27",88.3,512.66
"1898-01-28",92.58,508.38
"1898-01-29",98.48,502.48
"1898-01-30",107.16,493.8
"1898-01-31",113.61,487.35
"1898-02-01",128.6,472.36
"1898-02-02",141.98,458.98
"1898-02-03",156.91,444.05
"1898-02-04",162.24,438.72
"1898-02-05",163.24,437.72
"1898-02-06",167.9,433.06
"1898-02-07",167.18,433.78
"1898-02-08",162.51,438.45
"1898-02-09",155.78,445.18
"1898-02-10",147.27,453.69
"1898-02-11",135.83,465.13
"1898-02-12",132.32,468.64
"1898-02-13",131.22,469.74
"1898-02-14",131.23,469.73
"1898-02-15",135.23,465.73
"1898-02-16",145.68,455.28
"1898-02-17",150.51,450.45
"1898-02-18",148.06,452.9
"1898-02-19",148.39,452.57
"1898-02-20",146.83,454.13
"1898-02-21",148.65,452.31
