"DATE","CFDD","NMDD"
"1897-10-01",0,16.1
"1897-10-02",0,29.725
"1897-10-03",0,42.975
"1897-10-04",0,59.4125
"1897-10-05",0,77.4625
"1897-10-06",0,89
"1897-10-07",0,96.775
"1897-10-08",0,106.0875
"1897-10-09",0,112.5375
"1897-10-10",0,119.225
"1897-10-11",0,131.4625
"1897-10-12",0,142.925
"1897-10-13",0,151.9375
"1897-10-14",0,168.5375
"1897-10-15",0,190.8375
"1897-10-16",0,205.5625
"1897-10-17",0,210.975
"1897-10-18",0,217.2875
"1897-10-19",0,227.8375
"1897-10-20",0,238.325
"1897-10-21",0,247.7625
"1897-10-22",0,257.6375
"1897-10-23",0,265.9625
"1897-10-24",0,275.125
"1897-10-25",0,282.675
"1897-10-26",0,291.5625
"1897-10-27",0,300.1625
"1897-10-28",0,309.6
"1897-10-29",0,313.15
"1897-10-30",0,317.0375
"1897-10-31",0,324.55
"1897-11-01",0,333.225
"1897-11-02",0,340.45
"1897-11-03",0,348.05
"1897-11-04",0,357.725
"1897-11-05",0,368.9125
"1897-11-06",0,374.35
"1897-11-07",0,378.25
"1897-11-08",0,384.4375
"1897-11-09",0,390.0625
"1897-11-10",0,396.025
"1897-11-11",0,401.3125
"1897-11-12",0,403.55
"1897-11-13",0,404.45
"1897-11-14",0,406.3375
"1897-11-15",0,412.8625
"1897-11-16",0,416.4875
"1897-11-17",0.55,415.9375
"1897-11-18",2.3,414.1875
"1897-11-19",0.4875,416
"1897-11-20",0,421.9125
"1897-11-21",0,428.175
"1897-11-22",0,428.175
"1897-11-23",3.95,424.225
"1897-11-24",5.55,422.625
"1897-11-25",1.8625,426.3125
"1897-11-26",0,428.7375
"1897-11-27",3.2625,425.475
"1897-11-28",4.025,424.7125
"1897-11-29",6.025,422.7125
"1897-11-30",10.9625,417.775
"1897-12-01",16.925,411.8125
"1897-12-02",26.8,401.9375
"1897-12-03",30.425,398.3125
"1897-12-04",32.3125,396.425
"1897-12-05",34.5875,394.15
"1897-12-06",38.975,389.7625
"1897-12-07",39.6125,389.125
"1897-12-08",38.025,390.7125
"1897-12-09",33.1625,395.575
"1897-12-10",25.25,403.4875
"1897-12-11",21.8625,406.875
"1897-12-12",21.3125,407.425
"1897-12-13",19.5125,409.225
"1897-12-14",16.8,411.9375
"1897-12-15",15.075,413.6625
"1897-12-16",15.3,413.4375
"1897-12-17",22.525,406.2125
"1897-12-18",33.1625,395.575
"1897-12-19",42.8125,385.925
"1897-12-20",50.5125,378.225
"1897-12-21",56.7,372.0375
"1897-12-22",63.225,365.5125
"1897-12-23",75.5125,353.225
"1897-12-24",91.9875,336.75
"1897-12-25",99.7,329.0375
"1897-12-26",104.2125,324.525
"1897-12-27",113.725,315.0125
"1897-12-28",123.6625,305.075
"1897-12-29",127,301.7375
"1897-12-30",127.5625,301.175
"1897-12-31",135.2,293.5375
"1898-01-01",148.6,280.1375
"1898-01-02",159.225,269.5125
"1898-01-03",166.9625,261.775
"1898-01-04",173.275,255.4625
"1898-01-05",174.8875,253.85
"1898-01-06",174.4625,254.275
"1898-01-07",175.4375,253.3
"1898-01-08",175.45,253.2875
"1898-01-09",178.725,250.0125
"1898-01-10",181.9125,246.825
"1898-01-11",187.275,241.4625
"1898-01-12",185.675,243.0625
"1898-01-13",190.125,238.6125
"1898-01-14",192.5,236.2375
"1898-01-15",194.6625,234.075
"1898-01-16",203.4125,225.325
"1898-01-17",210.9125,217.825
"1898-01-18",213.6375,215.1
"1898-01-19",215.8,212.9375
"1898-01-20",215.5125,213.225
"1898-01-21",216.825,211.9125
"1898-01-22",216.475,212.2625
"1898-01-23",218.1375,210.6
"1898-01-24",223.7625,204.975
"1898-01-25",228.075,200.6625
"1898-01-26",233.975,194.7625
"1898-01-27",243.425,185.3125
"1898-01-28",255.025,173.7125
"1898-01-29",266.7625,161.975
"1898-01-30",282.675,146.0625
"1898-01-31",293.3,135.4375
"1898-02-01",311.625,117.1125
"1898-02-02",330.3125,98.4250000000003
"1898-02-03",347.7875,80.9500000000003
"1898-02-04",355.8375,72.9000000000003
"1898-02-05",359.7375,69.0000000000003
"1898-02-06",369.0625,59.6750000000003
"1898-02-07",369.9625,58.7750000000003
"1898-02-08",367.8,60.9375000000003
"1898-02-09",364.325,64.4125000000003
"1898-02-10",360.5625,68.1750000000003
"1898-02-11",354.875,73.8625000000003
"1898-02-12",353.8375,74.9000000000003
"1898-02-13",355.5,73.2375000000003
"1898-02-14",356.875,71.8625000000003
"1898-02-15",364.2375,64.5000000000003
"1898-02-16",378.95,49.7875000000003
"1898-02-17",389.375,39.3625000000003
"1898-02-18",391.8,36.9375000000003
"1898-02-19",396.325,32.4125000000003
"1898-02-20",399.65,29.0875000000003
"1898-02-21",405.35,23.3875000000003
"1898-02-22",408.825,19.9125000000003
"1898-02-23",412.425,16.3125000000003
"1898-02-24",418.325,10.4125000000003
"1898-02-25",422.6875,6.05000000000027
"1898-02-26",429.4375,-0.699999999999731
"1898-02-27",435.425,-6.68749999999973
"1898-02-28",442.9875,-14.2499999999997
"1898-03-01",447.7125,-18.9749999999997
"1898-03-02",452.3,-23.5624999999997
"1898-03-03",459.1125,-30.3749999999997
"1898-03-04",462.775,-34.0374999999997
"1898-03-05",469.0875,-40.3499999999997
"1898-03-06",470.1875,-41.4499999999997
"1898-03-07",468.3375,-39.5999999999997
"1898-03-08",463.6625,-34.9249999999997
"1898-03-09",457.0625,-28.3249999999997
"1898-03-10",451.9125,-23.1749999999997
"1898-03-11",446.2875,-17.5499999999997
"1898-03-12",444.7,-15.9624999999997
"1898-03-13",442.2,-13.4624999999997
"1898-03-14",443.175,-14.4374999999997
"1898-03-15",442,-13.2624999999997
"1898-03-16",433.65,-4.91249999999973
"1898-03-17",429.275,-0.537499999999731
"1898-03-18",427.975,0.762500000000269
"1898-03-19",419.725,9.01250000000027
"1898-03-20",417.3625,11.3750000000003
"1898-03-21",413.1875,15.5500000000003
"1898-03-22",406.025,22.7125000000003
"1898-03-23",409.7125,19.0250000000003
"1898-03-24",409.8375,18.9000000000003
"1898-03-25",405.9375,22.8000000000003
"1898-03-26",399.8375,28.9000000000003
"1898-03-27",390.525,38.2125000000003
"1898-03-28",385.4,43.3375000000003
"1898-03-29",383.875,44.8625000000003
"1898-03-30",384.825,43.9125000000003
"1898-03-31",386.6375,42.1000000000003
"1898-04-01",388.5125,40.2250000000003
"1898-04-02",390.9375,37.8000000000003
"1898-04-03",394.6875,34.0500000000003
"1898-04-04",401.4875,27.2500000000003
"1898-04-05",405.8625,22.8750000000003
"1898-04-06",407.5875,21.1500000000003
"1898-04-07",405.3625,23.3750000000003
"1898-04-08",402.2875,26.4500000000003
"1898-04-09",396.6,32.1375000000003
"1898-04-10",389.3125,39.4250000000003
"1898-04-11",380.975,47.7625000000003
"1898-04-12",372.425,56.3125000000003
"1898-04-13",362.1375,66.6000000000003
"1898-04-14",352.7125,76.0250000000003
"1898-04-15",342.9875,85.7500000000003
"1898-04-16",334.0375,94.7000000000003
"1898-04-17",326.675,102.0625
"1898-04-18",321.55,107.1875
"1898-04-19",317.3125,111.425
"1898-04-20",313.7,115.0375
"1898-04-21",306.2,122.5375
"1898-04-22",299.4,129.3375
"1898-04-23",292.0375,136.7
"1898-04-24",283.7875,144.95
"1898-04-25",276.375,152.3625
"1898-04-26",268.8125,159.925
"1898-04-27",261.525,167.2125
"1898-04-28",252.5625,176.175
"1898-04-29",242.3625,186.375
"1898-04-30",233.7,195.0375
"1898-10-01",0,17.15
"1898-10-02",0,37.8375
"1898-10-03",0,60.275
"1898-10-04",0,76.25
"1898-10-05",0,90.475
"1898-10-06",0,98.325
"1898-10-07",0,109.1625
"1898-10-08",0,120.975
"1898-10-09",0,131.325
"1898-10-10",0,143.975
"1898-10-11",0,158.625
"1898-10-12",0,168.075
"1898-10-13",0,175.7125
"1898-10-14",0,181.625
"1898-10-15",0,186.7625
"1898-10-16",0,193.6375
"1898-10-17",0,204.8875
"1898-10-18",0,214.4
"1898-10-19",0,222.6
"1898-10-20",0,231.6375
"1898-10-21",0,242.475
"1898-10-22",0,251.3
"1898-10-23",0,258.25
"1898-10-24",0,269.7875
"1898-10-25",0,281.1875
"1898-10-26",0,283.8375
"1898-10-27",0.4875,283.35
"1898-10-28",0,286.4125
"1898-10-29",0,292.8625
"1898-10-30",0,298.075
"1898-10-31",0,301.325
"1898-11-01",0,307.1
"1898-11-02",0,315.225
"1898-11-03",0,323.825
"1898-11-04",0,336.6
"1898-11-05",0,347.775
"1898-11-06",0,351.4
"1898-11-07",0,354.7125
"1898-11-08",0,361.675
"1898-11-09",0,363.5375
"1898-11-10",0,363.8125
"1898-11-11",2.1,361.7125
"1898-11-12",1.4625,362.35
"1898-11-13",0.9125,362.9
"1898-11-14",0,364.0625
"1898-11-15",0,366.225
"1898-11-16",0,369.15
"1898-11-17",0,371.9375
"1898-11-18",0,377.9
"1898-11-19",0,384.0625
"1898-11-20",0,387.6875
"1898-11-21",0,395.3125
"1898-11-22",0,397.675
"1898-11-23",5.075,392.6
"1898-11-24",10.6125,387.0625
"1898-11-25",16.5125,381.1625
"1898-11-26",19.6375,378.0375
"1898-11-27",23.8,373.875
"1898-11-28",26.6375,371.0375
"1898-11-29",26.6375,371.0375
"1898-11-30",27.7375,369.9375
"1898-12-01",28.85,368.825
"1898-12-02",29.4125,368.2625
"1898-12-03",28.8625,368.8125
"1898-12-04",29.775,367.9
"1898-12-05",31.4375,366.2375
"1898-12-06",35.6125,362.0625
"1898-12-07",41.6375,356.0375
"1898-12-08",49.475,348.2
"1898-12-09",55.2375,342.4375
"1898-12-10",59.625,338.05
"1898-12-11",63.225,334.45
"1898-12-12",71.5,326.175
"1898-12-13",85.0375,312.6375
"1898-12-14",95.6625,302.0125
"1898-12-15",104.05,293.625
"1898-12-16",106.1375,291.5375
"1898-12-17",104.7,292.975
"1898-12-18",104.7625,292.9125
"1898-12-19",109.6875,287.9875
"1898-12-20",109.5375,288.1375
"1898-12-21",107.8,289.875
"1898-12-22",105.7875,291.8875
"1898-12-23",106.35,291.325
"1898-12-24",111.5,286.175
"1898-12-25",119.625,278.05
"1898-12-26",126.625,271.05
"1898-12-27",133.425,264.25
"1898-12-28",145.7125,251.9625
"1898-12-29",146.2,251.475
"1898-12-30",150.8,246.875
"1898-12-31",165.1,232.575
"1899-01-01",180.9375,216.7375
"1899-01-02",187.6125,210.0625
"1899-01-03",187.7375,209.9375
"1899-01-04",183.7875,213.8875
"1899-01-05",189.4,208.275
"1899-01-06",196.8125,200.8625
"1899-01-07",209.25,188.425
"1899-01-08",218.0125,179.6625
"1899-01-09",231.1375,166.5375
"1899-01-10",247.4375,150.2375
"1899-01-11",262.0375,135.6375
"1899-01-12",268.9125,128.7625
"1899-01-13",267.875,129.8
"1899-01-14",266,131.675
"1899-01-15",264.125,133.55
"1899-01-16",262.7375,134.9375
"1899-01-17",266.8375,130.8375
"1899-01-18",276.975,120.7
"1899-01-19",283.575,114.1
"1899-01-20",285.5,112.175
"1899-01-21",285.2125,112.4625
"1899-01-22",287.7875,109.8875
"1899-01-23",288.25,109.425
"1899-01-24",291.15,106.525
"1899-01-25",296.6375,101.0375
"1899-01-26",300.95,96.7249999999998
"1899-01-27",316.5625,81.1124999999998
"1899-01-28",328.8625,68.8124999999998
"1899-01-29",347.9,49.7749999999998
"1899-01-30",365.1375,32.5374999999998
"1899-01-31",384.925,12.7499999999998
"1899-02-01",400.8875,-3.21250000000018
"1899-02-02",412.9625,-15.2875000000002
"1899-02-03",421.6625,-23.9875000000002
"1899-02-04",431.675,-34.0000000000002
"1899-02-05",444.8625,-47.1875000000002
"1899-02-06",460.2875,-62.6125000000002
"1899-02-07",477.65,-79.9750000000002
"1899-02-08",494.1,-96.4250000000002
"1899-02-09",515.625,-117.95
"1899-02-10",540.3375,-142.6625
"1899-02-11",564.4375,-166.7625
"1899-02-12",587.2875,-189.6125
"1899-02-13",606.6125,-208.9375
"1899-02-14",621.25,-223.575
"1899-02-15",627.075,-229.4
"1899-02-16",627.0875,-229.4125
"1899-02-17",625.075,-227.4
"1899-02-18",622.925,-225.25
"1899-02-19",622.9875,-225.3125
"1899-02-20",619.7875,-222.1125
"1899-02-21",616.45,-218.775
"1899-02-22",616.4625,-218.7875
"1899-02-23",623.2,-225.525
"1899-02-24",631.7375,-234.0625
"1899-02-25",637.0875,-239.4125
"1899-02-26",633.5625,-235.8875
"1899-02-27",636.55,-238.875
"1899-02-28",641.36875,-243.69375
"1899-03-01",649.14375,-251.46875
"1899-03-02",651.98125,-254.30625
"1899-03-03",651.49375,-253.81875
"1899-03-04",652.83125,-255.15625
"1899-03-05",656.15625,-258.48125
"1899-03-06",664.68125,-267.00625
"1899-03-07",671.91875,-274.24375
"1899-03-08",682.74375,-285.06875
"1899-03-09",686.21875,-288.54375
"1899-03-10",688.71875,-291.04375
"1899-03-11",683.38125,-285.70625
"1899-03-12",683.10625,-285.43125
"1899-03-13",692.26875,-294.59375
"1899-03-14",699.83125,-302.15625
"1899-03-15",698.66875,-300.99375
"1899-03-16",704.91875,-307.24375
"1899-03-17",712.84375,-315.16875
"1899-03-18",717.55625,-319.88125
"1899-03-19",722.84375,-325.16875
"1899-03-20",732.41875,-334.74375
"1899-03-21",741.64375,-343.96875
"1899-03-22",742.48125,-344.80625
"1899-03-23",745.26875,-347.59375
"1899-03-24",751.88125,-354.20625
"1899-03-25",756.86875,-359.19375
"1899-03-26",761.51875,-363.84375
"1899-03-27",764.36875,-366.69375
"1899-03-28",766.94375,-369.26875
"1899-03-29",771.55,-373.875
"1899-03-30",776.625,-378.95
"1899-03-31",780.375,-382.7
"1899-04-01",783.575000000001,-385.9
"1899-04-02",786.85,-389.175
"1899-04-03",789.075000000001,-391.4
"1899-04-04",791.862500000001,-394.1875
"1899-04-05",793.6625,-395.9875
"1899-04-06",794.0875,-396.4125
"1899-04-07",791.875,-394.2
"1899-04-08",789.3125,-391.6375
"1899-04-09",788.875,-391.2
"1899-04-10",786.925,-389.25
"1899-04-11",781.775,-384.1
"1899-04-12",772.5375,-374.8625
"1899-04-13",763.637500000001,-365.9625
"1899-04-14",753.237500000001,-355.5625
"1899-04-15",748.150000000001,-350.475
"1899-04-16",744.662500000001,-346.9875
"1899-04-17",737.087500000001,-339.4125
