"DATE","CFDD","NMDD"
"1897-10-01",0,18.625
"1897-10-02",0,31.75
"1897-10-03",0,43.35
"1897-10-04",0,56.2
"1897-10-05",0,72.0375
"1897-10-06",0,86.125
"1897-10-07",0,93.7
"1897-10-08",0,100.7875
"1897-10-09",0,109.725
"1897-10-10",0,114.6375
"1897-10-11",0,128.1875
"1897-10-12",0,144.1
"1897-10-13",0,155.35
"1897-10-14",0,170.0625
"1897-10-15",0,191.9375
"1897-10-16",0,210.55
"1897-10-17",0,217.15
"1897-10-18",0,223.1875
"1897-10-19",0,232.9625
"1897-10-20",0,243.575
"1897-10-21",0,254.6875
"1897-10-22",0,264.7
"1897-10-23",0,274.0625
"1897-10-24",0,283.1625
"1897-10-25",0,293.65
"1897-10-26",0,303.45
"1897-10-27",0,314.0125
"1897-10-28",0,327.2125
"1897-10-29",0,332.4875
"1897-10-30",0,335.2125
"1897-10-31",0,343.6625
"1897-11-01",0,353.725
"1897-11-02",0,360.725
"1897-11-03",0,368.9875
"1897-11-04",0,379.45
"1897-11-05",0,391.6
"1897-11-06",0,400.125
"1897-11-07",0,405.5375
"1897-11-08",0,409.2375
"1897-11-09",0,413.2625
"1897-11-10",0,416.6125
"1897-11-11",0,421.9375
"1897-11-12",0,425.3375
"1897-11-13",0,426.8
"1897-11-14",0,427.2875
"1897-11-15",0,432.4875
"1897-11-16",0,440.4875
"1897-11-17",0,440.4875
"1897-11-18",1.375,439.1125
"1897-11-19",2.275,438.2125
"1897-11-20",0,441.7375
"1897-11-21",0,449.4375
"1897-11-22",0.0749999999999999,449.3625
"1897-11-23",4.5875,444.85
"1897-11-24",7.45,441.9875
"1897-11-25",3.975,445.4625
"1897-11-26",0,453.575
"1897-11-27",0,453.775
"1897-11-28",1.175,452.6
"1897-11-29",1.25,452.525
"1897-11-30",5.775,448
"1897-12-01",8.5625,445.2125
"1897-12-02",16.2125,437.5625
"1897-12-03",20.2375,433.5375
"1897-12-04",20.7875,432.9875
"1897-12-05",17.725,436.05
"1897-12-06",20.9,432.875
"1897-12-07",20.35,433.425
"1897-12-08",17.2875,436.4875
"1897-12-09",11.4,442.375
"1897-12-10",1.6,452.175
"1897-12-11",0,460.0125
"1897-12-12",0,462.1625
"1897-12-13",0,465.025
"1897-12-14",0,468.375
"1897-12-15",0,472.3375
"1897-12-16",0,475.9375
"1897-12-17",0.1375,475.8
"1897-12-18",6.05,469.8875
"1897-12-19",17.5625,458.375
"1897-12-20",26.8125,449.125
"1897-12-21",32.775,443.1625
"1897-12-22",38.325,437.6125
"1897-12-23",47.8375,428.1
"1897-12-24",62.7,413.2375
"1897-12-25",69.5875,406.35
"1897-12-26",70.275,405.6625
"1897-12-27",76.8,399.1375
"1897-12-28",87.8375,388.1
"1897-12-29",92.15,383.7875
"1897-12-30",90.7,385.2375
"1897-12-31",94.0375,381.9
"1898-01-01",104.6125,371.325
"1898-01-02",116.425,359.5125
"1898-01-03",126.6375,349.3
"1898-01-04",137.275,338.6625
"1898-01-05",139.9625,335.975
"1898-01-06",139.0625,336.875
"1898-01-07",138.175,337.7625
"1898-01-08",135.9375,340
"1898-01-09",137.4625,338.475
"1898-01-10",138.0875,337.85
"1898-01-11",140.8125,335.125
"1898-01-12",136.7875,339.15
"1898-01-13",135.05,340.8875
"1898-01-14",136.925,339.0125
"1898-01-15",136.9125,339.025
"1898-01-16",143.2375,332.7
"1898-01-17",154.1375,321.8
"1898-01-18",159.3375,316.6
"1898-01-19",162.8125,313.125
"1898-01-20",160.925,315.0125
"1898-01-21",159.3875,316.55
"1898-01-22",157.9875,317.95
"1898-01-23",156.525,319.4125
"1898-01-24",158.9375,317
"1898-01-25",163.175,312.7625
"1898-01-26",167.6125,308.325
"1898-01-27",175.5375,300.4
"1898-01-28",189.6375,286.3
"1898-01-29",203.3875,272.55
"1898-01-30",221.375,254.5625
"1898-01-31",231.375,244.5625
"1898-02-01",245.325,230.6125
"1898-02-02",262.4875,213.45
"1898-02-03",277.2125,198.725
"1898-02-04",284.5,191.4375
"1898-02-05",286.4625,189.475
"1898-02-06",293.9625,181.975
"1898-02-07",296.525,179.4125
"1898-02-08",295.7,180.2375
"1898-02-09",292.1125,183.825
"1898-02-10",288.075,187.8625
"1898-02-11",281.675,194.2625
"1898-02-12",277.225,198.7125
"1898-02-13",277.075,198.8625
"1898-02-14",277.475,198.4625
"1898-02-15",280.8125,195.125
"1898-02-16",291.0875,184.85
"1898-02-17",302.825,173.1125
"1898-02-18",304.9625,170.975
"1898-02-19",307.2375,168.7
"1898-02-20",307.725,168.2125
"1898-02-21",309.4625,166.475
"1898-02-22",311.2625,164.675
"1898-02-23",313.2625,162.675
"1898-02-24",316.05,159.8875
"1898-02-25",321.525,154.4125
"1898-02-26",325.825,150.1125
"1898-02-27",330.6875,145.25
"1898-02-28",335.8375,140.1
"1898-03-01",340.3,135.6375
"1898-03-02",344.4,131.5375
"1898-03-03",347.3875,128.55
"1898-03-04",349.8875,126.05
"1898-03-05",352.725,123.2125
"1898-03-06",352.9375,123
"1898-03-07",349.6875,126.25
"1898-03-08",344.7,131.2375
"1898-03-09",337.7,138.2375
"1898-03-10",328.4,147.5375
"1898-03-11",318.1875,157.75
"1898-03-12",308.7375,167.2
"1898-03-13",299.7125,176.225
"1898-03-14",297.35,178.5875
"1898-03-15",295.7375,180.2
"1898-03-16",287.55,188.3875
"1898-03-17",280.525,195.4125
"1898-03-18",276.3,199.6375
"1898-03-19",265.0625,210.875
"1898-03-20",258.3875,217.55
"1898-03-21",255.2,220.7375
"1898-03-22",249.1625,226.775
"1898-03-23",243.6,232.3375
"1898-03-24",244.1625,231.775
"1898-03-25",241.575,234.3625
"1898-03-26",234.35,241.5875
"1898-03-27",225.3125,250.625
"1898-03-28",215.575,260.3625
"1898-03-29",211.675,264.2625
"1898-03-30",209.8125,266.125
"1898-03-31",208.0125,267.925
"1898-04-01",208.3625,267.575
"1898-04-02",208.425,267.5125
"1898-04-03",212.1875,263.75
"1898-04-04",216.55,259.3875
"1898-04-05",220.375,255.5625
"1898-04-06",221.9,254.0375
"1898-04-07",219.275,256.6625
"1898-04-08",214.1375,261.8
"1898-04-09",207.475,268.4625
"1898-04-10",198.2375,277.7
"1898-04-11",188.725,287.2125
"1898-04-12",178.4625,297.475
"1898-04-13",168.25,307.6875
"1898-04-14",156.8,319.1375
"1898-04-15",145.8875,330.05
"1898-04-16",134.6375,341.3
"1898-04-17",123.7625,352.175
"1898-04-18",116.6125,359.325
"1898-04-19",112.5875,363.35
"1898-04-20",107.375,368.5625
"1898-04-21",100.6375,375.3
"1898-04-22",94.9375,381
"1898-04-23",86.1625,389.775
"1898-04-24",75.8125,400.125
"1898-04-25",67.125,408.8125
"1898-04-26",59.2125,416.725
"1898-04-27",51.2375,424.7
"1898-04-28",43.1125,432.825
"1898-04-29",35.1375,440.8
"1898-04-30",24.1,451.8375
"1898-10-01",0,20.5
"1898-10-02",0,41.55
"1898-10-03",0,64.4625
"1898-10-04",0,84.525
"1898-10-05",0,102.775
"1898-10-06",0,112.3625
"1898-10-07",0,123.0625
"1898-10-08",0,136.4
