"year","lake","glahf_mean_cover","glahf_mean_duration"
1979,"erie",39.6,86.2
1980,"erie",27.4,63.6
1981,"erie",35.8,77.4
1982,"erie",43.2,87.7
1983,"erie",8.6,15.9
1984,"erie",44.9,99.5
1985,"erie",30.9,64.8
1986,"erie",45.5,98.9
1987,"erie",15.8,40.1
1988,"erie",29.4,70.3
1989,"erie",22.5,49.7
1990,"erie",21.3,53.1
1991,"erie",8.4,25.3
1992,"erie",15.3,38.4
1993,"erie",24.3,54.2
1994,"erie",40.1,84
1995,"erie",20.3,46.8
1996,"erie",42.6,90
1997,"erie",24.7,56.5
1998,"erie",0.9,3.5
1999,"erie",17.9,50.3
2000,"erie",18,43.8
2001,"erie",34.3,78.8
2002,"erie",2.1,7.1
2003,"erie",14,84.1
2004,"erie",26.4,59.5
2005,"erie",31.3,69.6
2006,"erie",6.6,16.7
2007,"erie",28.6,55
2008,"erie",32.1,65.8
2009,"erie",40.8,72.3
2010,"erie",34,53.5
2011,"erie",39.1,79.4
2012,"erie",1.5,3.8
2013,"erie",15,36.8
2014,"erie",44.6,100
1979,"huron",36.87,84.15
1980,"huron",22.108,53.31
1981,"huron",30.343,67.75
1982,"huron",36.42,79.73
1983,"huron",12.407,25.3
1984,"huron",31.033,71.92
1985,"huron",26.393,59.12
1986,"huron",31.086,74.91
1987,"huron",12.423,29.14
1988,"huron",21.984,53.95
1989,"huron",22.745,53.35
1990,"huron",20.438,49.04
1991,"huron",13.257,29.98
1992,"huron",19.041,44
1993,"huron",21.846,49.45
1994,"huron",41.257,86.92
1995,"huron",12.258,30.31
1996,"huron",37.031,83.58
1997,"huron",25.195,61.78
1998,"huron",8.194,22.77
1999,"huron",10.555,26.89
2000,"huron",11.206,28.57
2001,"huron",19.778,50.24
2002,"huron",8.178,22.72
2003,"huron",13.175,77.61
2004,"huron",20.719,53.33
2005,"huron",22.614,54.07
2006,"huron",13.348,29.07
2007,"huron",19.404,42.75
2008,"huron",20.92,46.02
2009,"huron",35.466,64.04
2010,"huron",15.278,23.29
2011,"huron",23.897,49.93
2012,"huron",6.469,12.77
2013,"huron",11.518,28.4
2014,"huron",43.4,98.17
1979,"michigan",28.56,66.94
1980,"michigan",12.79,28.2
1981,"michigan",17.25,38.42
1982,"michigan",20.52,42.02
1983,"michigan",8.42,13.13
1984,"michigan",13.94,28.59
1985,"michigan",15.82,29.92
1986,"michigan",19.78,46.97
1987,"michigan",6.46,12.59
1988,"michigan",11.7,24.43
1989,"michigan",10.66,25.2
1990,"michigan",9.48,22.53
1991,"michigan",7.08,15.51
1992,"michigan",6.78,15.41
1993,"michigan",7.53,17.79
1994,"michigan",20.17,46.87
1995,"michigan",4.96,11.78
1996,"michigan",17.19,42.23
1997,"michigan",11.55,30.72
1998,"michigan",3.67,10.14
1999,"michigan",5.39,13.64
2000,"michigan",5.23,14.12
2001,"michigan",10.22,27.49
2002,"michigan",3.89,10.87
2003,"michigan",6.61,38.28
2004,"michigan",9.71,27.49
2005,"michigan",9.31,22.18
2006,"michigan",5.59,12.57
2007,"michigan",8.47,20.06
2008,"michigan",10.94,23.97
2009,"michigan",18.59,34.15
2010,"michigan",9.59,16.41
2011,"michigan",9.78,21.1
2012,"michigan",3.65,7.15
2013,"michigan",6.05,14.66
2014,"michigan",28.14,68.03
1979,"ontario",15.54,35.78
1980,"ontario",7.95,18.22
1981,"ontario",11.7,26.2
1982,"ontario",15.39,35.6
1983,"ontario",5.75,6.38
1984,"ontario",11.72,24.19
1985,"ontario",12.25,26.03
1986,"ontario",14.86,35.74
1987,"ontario",3.42,4.87
1988,"ontario",8.63,18.12
1989,"ontario",3.84,8.8
1990,"ontario",6.94,16.01
1991,"ontario",3.72,8.21
1992,"ontario",4.18,10.01
1993,"ontario",5.02,13.44
1994,"ontario",14.11,36.07
1995,"ontario",3.13,7.64
1996,"ontario",7.54,20.18
1997,"ontario",5.21,14.68
1998,"ontario",1.41,5.2
1999,"ontario",3.53,10.85
2000,"ontario",3.95,11
2001,"ontario",5.5,14.66
2002,"ontario",0.92,3.13
2003,"ontario",1.72,27.37
2004,"ontario",7.02,20.37
2005,"ontario",7.05,19.34
2006,"ontario",2.75,6.41
2007,"ontario",5.7,14.47
2008,"ontario",5.3,10.86
2009,"ontario",11.22,17.14
2010,"ontario",4.42,6.42
2011,"ontario",5.84,13.17
2012,"ontario",0.55,1.15
2013,"ontario",2.39,6.9
2014,"ontario",12.43,32.63
1979,"superior",45.37,98.24
1980,"superior",20.8,50.65
1981,"superior",26.41,61.34
1982,"superior",28.61,65.59
1983,"superior",9.21,20.96
1984,"superior",27.05,66
1985,"superior",27.37,60.26
1986,"superior",29.54,67.86
1987,"superior",4.8,9.34
1988,"superior",19.59,49.04
1989,"superior",25.42,61.73
1990,"superior",17.9,43.89
1991,"superior",19.29,43.08
1992,"superior",14.13,32.88
1993,"superior",13.61,35.93
1994,"superior",37.8,80.95
1995,"superior",5.89,15.59
1996,"superior",37.35,80.44
1997,"superior",28.3,66.69
1998,"superior",2.41,7.85
1999,"superior",3.74,11.93
2000,"superior",4.4,13.61
2001,"superior",12.25,34.8
2002,"superior",3.45,10.33
2003,"superior",13.38,67.25
2004,"superior",11.25,33.45
2005,"superior",10.1,27.01
2006,"superior",4.01,9.21
2007,"superior",10.06,25.46
2008,"superior",13.43,31.38
2009,"superior",36.55,66.31
2010,"superior",6.65,10.06
2011,"superior",8.68,21.75
2012,"superior",2.12,4.56
2013,"superior",6.51,18.24
2014,"superior",48.45,111.98
