"stat_year","max_CFDD","min_NMDD"
1898,192.4,21.16
1899,386.74,21.72
1900,352.18,4.67
1901,368.44,15.88
1902,391.93,17.34
1903,279.46,13.39
1904,656.38,-157.83
1905,558.74,-104.48
1906,174.53,20.72
1907,297.52,11.01
1908,234.08,10.55
1909,82.37,9.72
1910,381.75,9.67
1911,226.79,16.5
1912,580.04,-87.7099999999999
1913,191.95,11
1914,294.46,16.17
1915,306.53,12.28
1916,310.85,12.5
1917,444.33,9.9
1918,602.68,-260.13
1919,71.82,9.26
1920,560.82,-1.1999999999995
1921,79.73,6.51
1922,218.49,14.84
1923,275.09,21.17
1924,286.06,11.84
1925,290.84,9.82
1926,372.79,-13.68
1927,223.09,17.26
1928,209.93,23.11
1929,284.18,14.12
1930,250.89,10.45
1931,128.06,9.99
1932,78.88,18.56
1933,90.53,17.33
1934,386.09,17.61
1935,268.39,9.89
1936,507.01,10.4
1937,89.59,12.94
1938,195.03,21.11
1939,147.01,11.94
1940,443.25,9.16
1941,257.53,13.16
1942,248.75,14.71
1943,376.85,16.16
1944,227.98,16.34
1945,429.26,15.44
1946,254.31,16.32
1947,233.58,8.27
1948,418.33,7.49
1949,57.84,17.56
1950,152.71,14.78
1951,298.31,19.06
1952,185.99,17.5
1953,43.05,20.89
1954,169.38,15.18
1955,209.02,21.43
1956,258.68,11.54
1957,230.85,11.05
1958,275.61,13.55
1959,458.57,8.49
1960,292.66,16.62
1961,422.26,9.11
1962,407.27,14.61
1963,624.96,-88.1899999999999
1964,302.27,15.9
1965,263.72,13.96
1966,285.97,14.84
1967,241.5,9.61
1968,382.23,11.62
1969,318.13,20.1
1970,495.36,-49.7999999999998
1971,355.11,10.24
1972,265.61,20.23
1973,165.83,9.73
1974,237.23,15.37
1975,125.19,7.28
1976,341.17,13.61
1977,664.92,-359.33
1978,663.66,-163.17
1979,504.55,-16.8299999999998
1980,346.27,18.22
1981,436.08,-33.1499999999996
1982,501.76,-45.5400000000001
1983,114.59,18.73
1984,448.95,16.61
1985,348.41,9.22
1986,370.67,10.99
1987,161.53,17.41
1988,259.92,10.99
1989,183.11,22.71
1990,237.3,15.4
1991,136.31,11.55
1992,137.31,18.66
1993,210.61,11.5
1994,462.04,12.84
1995,175.79,13.05
1996,421.06,19.94
1997,209.23,18.22
1998,38.84,9.26
1999,201.45,12.67
2000,243.75,13.22
2001,312.17,17.39
2002,67.39,13.83
2003,443.75,14.3500000000001
2004,306.84,7.94
2005,303.96,14.99
2006,112.09,15.45
2007,322.81,13.62
2008,195.45,18.88
2009,353.03,11.99
2010,264.88,9.32
2011,371.81,13.56
2012,44.91,9.17
2013,155.35,12.44
2014,546.2,-29.0300000000002
2015,528.29,-27.4600000000001
2016,116.43,11.78
2017,82.94,16.78
2018,296.01,12.1
2019,223.26,16.6
2020,32.04,25.66
2021,177.15,12.66
2022,218.73,15.71
2023,50.41,14.32
