"stat_year","max_CFDD","min_NMDD"
1898,470.1875,-41.4499999999997
1899,794.0875,-396.4125
1900,651.4125,-163.775
1901,637.125,-136.5875
1902,568.9375,-215.1125
1903,514.59375,-50.50625
1904,1069.075,-676.325
1905,907.31875,-570.23125
1906,469.26875,-130.45625
1907,662.93125,-322.4
1908,573.05,-299
1909,455.71875,-23.8375000000001
1910,557.81875,-180.49375
1911,558.275,-210.04375
1912,928.775,-609.6125
1913,522.075,-100.2875
1914,623.9625,-152.15
1915,599.7,-170.7625
1916,699.8875,-271.475
1917,828.1125,-446.6875
1918,995.9125,-765.9125
1919,306.6375,7.65
1920,964.525,-577.95
1921,282.575,6.1
1922,520.3375,-185.8625
1923,802.6125,-389.5625
1924,584.362500000001,-187.025
1925,671.1125,-228.225
1926,734.0625,-521.725
1927,576.2625,-289.175
1928,500.925,-62.2874999999999
1929,587.5125,-160.2125
1930,603.5125,-245.3375
1931,429.2,-6.71249999999989
1932,218,17.0125
1933,368.3125,-5.82499999999992
1934,809.0125,-490.375
1935,599.6375,-151.525
1936,798.0125,-438.9125
1937,412.5375,-88.1249999999999
1938,547.0375,-217.1625
1939,529.2375,-38.8375000000002
1940,639.5625,-257.9875
1941,598.875,-231.7875
1942,463.7,5.57500000000002
1943,733.225,-339.85
1944,489.7,-169.3125
1945,659.6375,-257.05
1946,533.75,-171.4375
1947,542.4875,-40.0625000000001
1948,730.6,-209.0375
1949,360.9125,18.1875
1950,464.175,-8.43750000000023
1951,528.8375,-79.6125000000001
1952,483.2,-127.1125
1953,300.375,18.6125
1954,437.7875,13.0625
1955,526.5125,-92.5375
1956,634.825,-215.5625
1957,539.65,-29.6750000000002
1958,471.5125,-90.2625000000002
1959,866.6625,-378.1375
1960,650.4625,-333.6125
1961,638.325,-189.5125
1962,735.5875,-264.0375
1963,930.0375,-499.9
1964,543.925,14.575
1965,703.6625,-282.725
1966,448.1375,-74.7249999999999
1967,640.2625,-251.475
1968,635.55,-301.0625
1969,554.575,-111
1970,787.9625,-417.7375
1971,697.05,-231.3875
1972,651.0375,-128.1375
1973,480.3875,-217.275
1974,593.325,-96.8124999999997
1975,445.9375,-86.05
1976,578.1125,-57.8000000000001
1977,894.3875,-655.4625
1978,930.7875,-553.4875
1979,844.1375,-477.925
1980,549.0625,-175.075
1981,638.725,-373.575
1982,737,-426.93125
1983,277.33125,14.625
1984,675.1625,-293.6875
1985,513.7,-93.5125000000001
1986,661.425,-261.13125
1987,354.39375,-31.54375
1988,536.18125,-200.55625
1989,568.2125,-235.29375
1990,625.6125,-270.46875
1991,423.5375,-17.85
1992,525.1125,-180.925
1993,579.05,-290.925
1994,865.2125,-562.275
1995,469.9625,9.38750000000011
1996,833.6625,-483.15
1997,566.975,-246.575
1998,252.05,7.7625
1999,504.004427083333,5.30807291666658
2000,467.1125,-5.61249999999995
2001,664.7125,-240.125
2002,319.75,14.075
2003,761.64375,-470.19375
2004,544.75625,-151.35
2005,631.325,-187.1125
2006,386.65625,17.1375
2007,475.725,-15.6519230769229
2008,523.575,-24.9625000000002
2009,677.8375,-299.8375
2010,435.0875,7.325
2011,615.51875,-176.9875
2012,185.3125,7.7875
2013,374.85625,12.225
2014,984.7125,-569.49375
2015,758.834810907939,-398.814964271912
2016,272.74375,10.75
2017,252.867176705206,15.4375
2018,528.129166666667,-31.9666666666667
2019,544.60625,-223.1125
2020,205.2125,20.05
2021,341.975,10.9375
2022,501.825,15.125
2023,169.0875,13.15
