"stat_year","max_CFDD","min_NMDD"
1898,352.9375,18.625
1899,507.0625,-57.0874999999998
1900,505.3,-2.43750000000026
1901,523.8125,14.7875
1902,473.8125,-102.575
1903,406.75,14.5875
1904,870.85,-426.1625
1905,820.525,-485.8125
1906,316.475,19.5125
1907,609.6625,-213.775
1908,445.0125,-108.1
1909,328.8,11.9375
1910,433.8625,0.624999999999975
1911,526.35,-136.7
1912,676.0375,-247.225
1913,284.3,8.425
1914,520.3375,14.1625
1915,407.6,9.925
1916,517.2125,-24.0499999999999
1917,595.6875,-136.6375
1918,822.85,-522.8
1919,175.5125,7.7875
1920,739.4,-272.5
1921,199.3625,6.5875
1922,399.3375,14.375
1923,613.95,-138.275
1924,393.0875,10.975
1925,453.5375,1.67500000000025
1926,514.85,-201.0375
1927,428.7,-47.65
1928,353.9375,19.2375
1929,334.7375,11.1375
1930,404.7,10.0375
1931,333.8625,9.925
1932,139.725,17.425
1933,130.1,14.1625
1934,702.0375,-376.025
1935,530.5375,-48.9374999999999
1936,627.8125,-152.225
1937,210.9875,12.4375
1938,386.75,18.2625
1939,403.6875,10.075
1940,610.2625,-194.05
1941,526.5875,-134.7625
1942,407.2375,14.1
1943,580.725,-113.625
1944,439.6625,-44.6000000000001
1945,575.3125,-147.475
1946,473.0625,-36.4999999999999
1947,399.075,4.5
1948,652.737499999999,-105.325
1949,253.1125,17.725
1950,338.425,11.3125
1951,343.75,16.8125
1952,347.8,12.15
1953,185.6875,17.075
1954,303.5375,15.6875
1955,394.375,21.45
1956,494.7625,-28.85
1957,352.6125,9.45
1958,348.325,14.725
1959,637.725,-132.1375
1960,473.0875,-20.6375
1961,499.2625,8.2625
1962,498.1,17.5625
1963,615.2625,-154.675
1964,441.1,12.775
1965,437.4125,11.325
1966,325.5375,16.525
1967,363.3375,9.45
1968,528.5875,-87.475
1969,420.2,19.9375
1970,628.9625,-174.1625
1971,564.5375,-7.80000000000028
1972,407.55,17.7
1973,314.275,8.55
1974,401.2625,13.05
1975,234.85,5.775
1976,422.9,15.625
1977,621.3625,-308.6875
1978,654.1875,-189.3125
1979,556.4375,-122.6125
1980,444.425,15.9875
1981,569.425,-203.225
1982,547.025,-161.9375
1983,200.275,16.9
1984,506,-47.9375000000002
1985,354.3375,10.9125
1986,471.675,-0.625000000000172
1987,289.2375,15.6875
1988,351.0125,11.2625
1989,377.025,21.05
1990,428.4625,12.95
1991,219.1,10.1875
1992,359.7625,15.2125
1993,441.2625,-68.8624999999998
1994,677.9125,-248.8
1995,260.6625,10.225
1996,526.497847985348,-80.6507967032965
1997,273.543985671192,17.4607142857143
1998,106.751370035194,7.71964285714286
1999,301.072913524384,12.2410714285714
2000,305.302457264957,14.6660714285714
2001,367.87536218941,16.4160714285714
2002,48.9507028789923,13.6875
2003,539.458547008547,-111.791656790922
2004,410.419444444444,8.51785714285714
2005,438.53344017094,14.5839285714286
2006,176.791239316239,16.4267857142857
2007,377.045299145299,13.7910714285714
2008,251.188810166442,18.7821428571429
2009,407.084935897436,12.7678571428571
2010,292.698717948718,7.47857142857143
2011,422.701282051282,13.7696428571429
2012,73.7625,9.54642857142857
2013,223.595833333333,15.45
2014,648.53125,-172.10625
2015,623.13125,-128.44375
2016,187.025,9.65
2017,139.2125,14.6375
2018,396.9125,10.425
2019,351.8,10.9625
2020,150.51875,22.925
2021,236.2125,13.7625
2022,351.425,12.85
2023,71.90625,12.7875
