"stat_year","max_CFDD","min_NMDD"
1898,891.483333333333,-570.891666666666
1899,1369.34166666667,-1097.66666666667
1900,992.708333333333,-585.908333333333
1901,1039.60833333333,-618.791666666667
1902,795.758333333333,-522.75
1903,824.525,-508.241666666666
1904,1467.375,-1133.05833333333
1905,1186.725,-884.633333333333
1906,865.833333333333,-635.516666666666
1907,1081.81666666667,-816.008333333333
1908,858.75,-650.891666666667
1909,893.25,-568.266666666666
1910,893.066666666666,-592.816666666667
1911,949.083333333333,-674.166666666667
1912,1403.71666666667,-1188.83333333333
1913,1115.53333333333,-795.358333333333
1914,886.416666666667,-572.133333333333
1915,906.775,-538.65
1916,1097.41666666667,-790.858333333333
1917,1358.46666666667,-1096.96666666667
1918,1289.10833333333,-1128.28333333333
1919,596.4,-249.433333333334
1920,1351.53333333333,-1152.95833333333
1921,631.05,-235.666666666667
1922,1026.15833333333,-758.558333333333
1923,1292.90833333333,-968.533333333334
1924,865.400000000001,-559.791666666667
1925,1116.625,-754.675
1926,1079.35833333333,-962.133333333333
1927,980.758333333333,-805.408333333333
1928,1048.575,-761.841666666667
1929,1041.525,-736.858333333333
1930,1079.38333333333,-775.375
1931,618.55,-278.316666666667
1932,642.308333333334,-144.758333333333
1933,949.841666666666,-703.116666666666
1934,1186.10833333333,-981.816666666666
1935,914.058333333333,-579.125
1936,1263.53333333333,-1024.05833333333
1937,1045.21666666667,-888.583333333333
1938,948.916666666667,-719.858333333333
1939,1049.20833333333,-662.2
1940,809.650000000001,-551.183333333334
1941,912.375,-609.25
1942,677.4125,-373.2875
1943,1200.40833333333,-924.391666666667
1944,854.958333333334,-589.241666666667
1945,934.475,-599.316666666667
1946,938.008333333333,-714.533333333333
1947,961.616666666667,-609.766666666666
1948,1221.71666666667,-795.158333333334
1949,927.1,-606.3
1950,1218.91666666667,-894.7
1951,1217.5,-931.366666666667
1952,1080.125,-870.2
1953,759.625,-567.35
1954,885.216666666667,-484.125
1955,992.424999999999,-728.266666666666
1956,1098.925,-824.825
1957,1167.1,-775.175
1958,833.341666666666,-565.266666666667
1959,1340.8,-982.875000000001
1960,1023.54166666667,-853.566666666666
1961,905.500000000001,-613.091666666667
1962,1134.65,-849.441666666666
1963,1275.26666666667,-950.566666666666
1964,966.258333333333,-469.808333333333
1965,1306.275,-977.775
1966,895.825,-634.991666666667
1967,1129.43333333333,-921.108333333334
1968,987.458333333333,-781.525
1969,977.05,-683.533333333333
1970,1197.51666666667,-972.483333333333
1971,1185.01666666667,-880.616666666666
1972,1291.4,-926.141666666667
1973,864.316666666667,-668.608333333333
1974,1086.83333333333,-764.833333333333
1975,920.3,-674.258333333333
1976,1012.48333333333,-638.966666666666
1977,1266.375,-1112.2
1978,1172.13333333333,-864.483333333333
1979,1443.52560307018,-1154.36726973684
1980,949.591666666666,-755.5
1981,934.058333333333,-777.4
1982,1208.05,-965.85
1983,682.566666666667,-416.566666666666
1984,1136.71666666667,-861.483333333333
1985,972.058333333334,-706.975
1986,1192.425,-936.583333333333
1987,637.975,-413.191666666667
1988,978.333333333333,-769.525
1989,1058.25833333333,-875.233333333333
1990,973.566666666666,-720.433333333333
1991,896.708333333333,-635.991666666667
1992,808.416666666667,-616.041666666667
1993,899.95,-697.391666666667
1994,1213.68333333333,-1045.94583333333
1995,734.691666666667,-360.4
1996,1351.26666666667,-1118.475
1997,1047.97916666667,-811.379166666667
1998,536.629166666667,-289.895833333333
1999,742.133333333333,-378.408333333333
2000,666.270833333333,-362.625
2001,1052.78333333333,-711.991666666667
2002,628.804166666667,-248.420833333333
2003,1038.4690625,-892.577395833333
2004,842.616666666667,-614.966666666667
2005,970.547916666666,-641.260416666667
2006,713.220833333333,-365.7875
2007,746.279166666667,-508.629166666667
2008,1033.59250992388,-676.030009923879
2009,1156.0375,-850.791666666667
2010,717.855,-432.709166666667
2011,966.695833333333,-627.445833333333
2012,474.891666666667,-112.275
2013,842.075,-567.295833333333
2014,1528.31994062346,-1240.86957454985
2015,1123.27708333333,-880.075
2016,545.608333333333,-139.8375
2017,623.225,-180.908333333333
2018,1023.2875,-720.975
2019,1009.625,-809.308333333333
2020,687.3125,-463.304166666667
2021,655.808333333334,-418.266666666667
2022,983.875,-555.766666666667
2023,684.5,-330.820833333333
